Subject,AngleToNorth,Time,Accuracy,Group
1719,0,3s,0.75,map
1719,0,Inf,0.5,map
1719,120,3s,0.25,map
1719,120,Inf,0.42857142857142855,map
1719,150,3s,0.0,map
1719,150,Inf,0.5714285714285714,map
1719,180,3s,0.6666666666666666,map
1719,180,Inf,0.75,map
1719,30,3s,0.8333333333333334,map
1719,30,Inf,1.0,map
1719,60,3s,0.8571428571428571,map
1719,60,Inf,0.4,map
1719,90,3s,0.16666666666666666,map
1719,90,Inf,0.6666666666666666,map
2096,0,3s,1.0,map
2096,0,Inf,1.0,map
2096,120,3s,0.25,map
2096,120,Inf,0.5714285714285714,map
2096,150,3s,0.3333333333333333,map
2096,150,Inf,0.42857142857142855,map
2096,180,3s,0.0,map
2096,180,Inf,0.0,map
2096,30,3s,0.8333333333333334,map
2096,30,Inf,0.6,map
2096,60,3s,0.7142857142857143,map
2096,60,Inf,0.8,map
2096,90,3s,0.3333333333333333,map
2096,90,Inf,1.0,map
2294,0,3s,0.75,map
2294,0,Inf,0.5,map
2294,120,3s,0.25,map
2294,120,Inf,0.42857142857142855,map
2294,150,3s,0.16666666666666666,map
2294,150,Inf,0.42857142857142855,map
2294,180,3s,0.3333333333333333,map
2294,180,Inf,0.5,map
2294,30,3s,0.8333333333333334,map
2294,30,Inf,0.8,map
2294,60,3s,0.5714285714285714,map
2294,60,Inf,0.4,map
2294,90,3s,0.8333333333333334,map
2294,90,Inf,0.3333333333333333,map
2299,0,3s,0.0,map
2299,0,Inf,0.5,map
2299,120,3s,0.5,map
2299,120,Inf,0.5714285714285714,map
2299,150,3s,0.16666666666666666,map
2299,150,Inf,0.42857142857142855,map
2299,180,3s,0.3333333333333333,map
2299,180,Inf,0.75,map
2299,30,3s,0.3333333333333333,map
2299,30,Inf,0.8,map
2299,60,3s,0.5714285714285714,map
2299,60,Inf,1.0,map
2299,90,3s,0.8333333333333334,map
2299,90,Inf,0.8333333333333334,map
2557,0,3s,0.5,map
2557,0,Inf,0.5,map
2557,120,3s,0.5,map
2557,120,Inf,0.5714285714285714,map
2557,150,3s,0.3333333333333333,map
2557,150,Inf,0.7142857142857143,map
2557,180,3s,0.3333333333333333,map
2557,180,Inf,0.5,map
2557,30,3s,0.3333333333333333,map
2557,30,Inf,1.0,map
2557,60,3s,0.5714285714285714,map
2557,60,Inf,0.4,map
2557,90,3s,0.6666666666666666,map
2557,90,Inf,0.3333333333333333,map
3426,0,3s,0.0,map
3426,0,Inf,1.0,map
3426,120,3s,1.0,map
3426,120,Inf,0.7142857142857143,map
3426,150,3s,0.3333333333333333,map
3426,150,Inf,0.5714285714285714,map
3426,180,3s,1.0,map
3426,180,Inf,1.0,map
3426,30,3s,1.0,map
3426,30,Inf,0.6,map
3426,60,3s,0.8571428571428571,map
3426,60,Inf,0.8,map
3426,90,3s,1.0,map
3426,90,Inf,1.0,map
4199,0,3s,1.0,map
4199,0,Inf,1.0,map
4199,120,3s,0.75,map
4199,120,Inf,0.7142857142857143,map
4199,150,3s,0.5,map
4199,150,Inf,0.8571428571428571,map
4199,180,3s,0.6666666666666666,map
4199,180,Inf,1.0,map
4199,30,3s,0.8333333333333334,map
4199,30,Inf,0.8,map
4199,60,3s,0.2857142857142857,map
4199,60,Inf,0.6,map
4199,90,3s,0.6666666666666666,map
4199,90,Inf,0.5,map
4749,0,3s,1.0,map
4749,0,Inf,1.0,map
4749,120,3s,0.5,map
4749,120,Inf,0.7142857142857143,map
4749,150,3s,0.5,map
4749,150,Inf,0.8571428571428571,map
4749,180,3s,0.6666666666666666,map
4749,180,Inf,1.0,map
4749,30,3s,0.5,map
4749,30,Inf,0.2,map
4749,60,3s,0.2857142857142857,map
4749,60,Inf,0.8,map
4749,90,3s,0.6666666666666666,map
4749,90,Inf,0.8333333333333334,map
5048,0,3s,0.25,map
5048,0,Inf,0.5,map
5048,120,3s,0.25,map
5048,120,Inf,0.42857142857142855,map
5048,150,3s,0.6666666666666666,map
5048,150,Inf,0.2857142857142857,map
5048,180,3s,0.3333333333333333,map
5048,180,Inf,0.0,map
5048,30,3s,0.3333333333333333,map
5048,30,Inf,0.8,map
5048,60,3s,0.8571428571428571,map
5048,60,Inf,0.4,map
5048,90,3s,0.5,map
5048,90,Inf,0.8333333333333334,map
5162,0,3s,0.5,map
5162,0,Inf,0.5,map
5162,120,3s,0.5,map
5162,120,Inf,0.14285714285714285,map
5162,150,3s,0.6666666666666666,map
5162,150,Inf,0.7142857142857143,map
5162,180,3s,0.3333333333333333,map
5162,180,Inf,0.25,map
5162,30,3s,0.3333333333333333,map
5162,30,Inf,0.2,map
5162,60,3s,0.2857142857142857,map
5162,60,Inf,0.6,map
5162,90,3s,0.3333333333333333,map
5162,90,Inf,0.16666666666666666,map
5904,0,3s,0.25,map
5904,0,Inf,0.5,map
5904,120,3s,0.5,map
5904,120,Inf,0.2857142857142857,map
5904,150,3s,0.6666666666666666,map
5904,150,Inf,0.14285714285714285,map
5904,180,3s,0.0,map
5904,180,Inf,0.0,map
5904,30,3s,0.16666666666666666,map
5904,30,Inf,0.6,map
5904,60,3s,0.5714285714285714,map
5904,60,Inf,0.4,map
5904,90,3s,0.5,map
5904,90,Inf,0.3333333333333333,map
6449,0,3s,0.5,map
6449,0,Inf,0.0,map
6449,120,3s,0.5,map
6449,120,Inf,0.14285714285714285,map
6449,150,3s,0.3333333333333333,map
6449,150,Inf,0.7142857142857143,map
6449,180,3s,0.3333333333333333,map
6449,180,Inf,0.25,map
6449,30,3s,0.5,map
6449,30,Inf,1.0,map
6449,60,3s,0.42857142857142855,map
6449,60,Inf,0.6,map
6449,90,3s,0.6666666666666666,map
6449,90,Inf,0.6666666666666666,map
7085,0,3s,1.0,map
7085,0,Inf,1.0,map
7085,120,3s,0.5,map
7085,120,Inf,0.7142857142857143,map
7085,150,3s,1.0,map
7085,150,Inf,0.8571428571428571,map
7085,180,3s,0.6666666666666666,map
7085,180,Inf,1.0,map
7085,30,3s,1.0,map
7085,30,Inf,0.8,map
7085,60,3s,0.8571428571428571,map
7085,60,Inf,1.0,map
7085,90,3s,0.6666666666666666,map
7085,90,Inf,1.0,map
7396,0,3s,0.75,map
7396,0,Inf,1.0,map
7396,120,3s,0.75,map
7396,120,Inf,0.2857142857142857,map
7396,150,3s,0.3333333333333333,map
7396,150,Inf,0.14285714285714285,map
7396,180,3s,0.3333333333333333,map
7396,180,Inf,0.75,map
7396,30,3s,0.5,map
7396,30,Inf,0.8,map
7396,60,3s,0.7142857142857143,map
7396,60,Inf,0.4,map
7396,90,3s,0.3333333333333333,map
7396,90,Inf,0.16666666666666666,map
7844,0,3s,1.0,map
7844,0,Inf,1.0,map
7844,120,3s,0.5,map
7844,120,Inf,0.2857142857142857,map
7844,150,3s,0.16666666666666666,map
7844,150,Inf,0.5714285714285714,map
7844,180,3s,0.6666666666666666,map
7844,180,Inf,0.75,map
7844,30,3s,0.8333333333333334,map
7844,30,Inf,1.0,map
7844,60,3s,0.7142857142857143,map
7844,60,Inf,0.2,map
7844,90,3s,0.3333333333333333,map
7844,90,Inf,0.8333333333333334,map
8021,0,3s,1.0,map
8021,0,Inf,0.5,map
8021,120,3s,0.0,map
8021,120,Inf,0.42857142857142855,map
8021,150,3s,0.3333333333333333,map
8021,150,Inf,0.42857142857142855,map
8021,180,3s,0.3333333333333333,map
8021,180,Inf,0.75,map
8021,30,3s,0.5,map
8021,30,Inf,0.8,map
8021,60,3s,0.5714285714285714,map
8021,60,Inf,0.8,map
8021,90,3s,0.8333333333333334,map
8021,90,Inf,0.5,map
8078,0,3s,0.25,map
8078,0,Inf,1.0,map
8078,120,3s,0.75,map
8078,120,Inf,0.42857142857142855,map
8078,150,3s,0.16666666666666666,map
8078,150,Inf,0.7142857142857143,map
8078,180,3s,0.0,map
8078,180,Inf,1.0,map
8078,30,3s,1.0,map
8078,30,Inf,0.8,map
8078,60,3s,0.42857142857142855,map
8078,60,Inf,0.6,map
8078,90,3s,0.6666666666666666,map
8078,90,Inf,0.8333333333333334,map
8124,0,3s,0.5,map
8124,0,Inf,1.0,map
8124,120,3s,0.75,map
8124,120,Inf,1.0,map
8124,150,3s,0.6666666666666666,map
8124,150,Inf,0.8571428571428571,map
8124,180,3s,0.6666666666666666,map
8124,180,Inf,0.75,map
8124,30,3s,0.6666666666666666,map
8124,30,Inf,0.8,map
8124,60,3s,0.8571428571428571,map
8124,60,Inf,0.8,map
8124,90,3s,0.8333333333333334,map
8124,90,Inf,1.0,map
8479,0,3s,0.75,map
8479,0,Inf,0.5,map
8479,120,3s,0.5,map
8479,120,Inf,0.42857142857142855,map
8479,150,3s,0.16666666666666666,map
8479,150,Inf,0.7142857142857143,map
8479,180,3s,0.3333333333333333,map
8479,180,Inf,0.5,map
8479,30,3s,0.8333333333333334,map
8479,30,Inf,0.6,map
8479,60,3s,0.7142857142857143,map
8479,60,Inf,0.6,map
8479,90,3s,0.5,map
8479,90,Inf,0.5,map
8802,0,3s,0.5,map
8802,0,Inf,1.0,map
8802,120,3s,0.25,map
8802,120,Inf,0.7142857142857143,map
8802,150,3s,0.5,map
8802,150,Inf,0.5714285714285714,map
8802,180,3s,0.0,map
8802,180,Inf,0.75,map
8802,30,3s,0.3333333333333333,map
8802,30,Inf,0.4,map
8802,60,3s,0.42857142857142855,map
8802,60,Inf,0.6,map
8802,90,3s,0.5,map
8802,90,Inf,0.5,map
9369,0,3s,0.25,map
9369,0,Inf,0.5,map
9369,120,3s,0.75,map
9369,120,Inf,1.0,map
9369,150,3s,0.5,map
9369,150,Inf,0.7142857142857143,map
9369,180,3s,0.3333333333333333,map
9369,180,Inf,0.75,map
9369,30,3s,0.6666666666666666,map
9369,30,Inf,0.4,map
9369,60,3s,0.7142857142857143,map
9369,60,Inf,0.8,map
9369,90,3s,0.6666666666666666,map
9369,90,Inf,0.5,map
9864,0,3s,1.0,map
9864,0,Inf,1.0,map
9864,120,3s,0.5,map
9864,120,Inf,0.0,map
9864,150,3s,0.16666666666666666,map
9864,150,Inf,0.0,map
9864,180,3s,0.0,map
9864,180,Inf,0.0,map
9864,30,3s,0.8333333333333334,map
9864,30,Inf,0.8,map
9864,60,3s,0.8571428571428571,map
9864,60,Inf,0.4,map
9864,90,3s,0.5,map
9864,90,Inf,0.6666666666666666,map
1089,0,3s,0.25,VR
1089,0,Inf,0.0,VR
1089,120,3s,0.5,VR
1089,120,Inf,0.14285714285714285,VR
1089,150,3s,0.5,VR
1089,150,Inf,0.5714285714285714,VR
1089,180,3s,0.3333333333333333,VR
1089,180,Inf,0.5,VR
1089,30,3s,0.3333333333333333,VR
1089,30,Inf,0.6,VR
1089,60,3s,0.2857142857142857,VR
1089,60,Inf,0.6,VR
1089,90,3s,0.6666666666666666,VR
1089,90,Inf,0.6666666666666666,VR
1155,0,3s,0.25,VR
1155,0,Inf,0.0,VR
1155,120,3s,0.25,VR
1155,120,Inf,0.2857142857142857,VR
1155,150,3s,0.3333333333333333,VR
1155,150,Inf,0.7142857142857143,VR
1155,180,3s,0.3333333333333333,VR
1155,180,Inf,0.5,VR
1155,30,3s,0.6666666666666666,VR
1155,30,Inf,0.6,VR
1155,60,3s,0.42857142857142855,VR
1155,60,Inf,0.6,VR
1155,90,3s,0.8333333333333334,VR
1155,90,Inf,0.5,VR
2044,0,3s,0.5,VR
2044,0,Inf,0.0,VR
2044,120,3s,0.75,VR
2044,120,Inf,0.42857142857142855,VR
2044,150,3s,0.5,VR
2044,150,Inf,0.14285714285714285,VR
2044,180,3s,0.3333333333333333,VR
2044,180,Inf,0.25,VR
2044,30,3s,0.5,VR
2044,30,Inf,0.6,VR
2044,60,3s,0.42857142857142855,VR
2044,60,Inf,0.6,VR
2044,90,3s,0.16666666666666666,VR
2044,90,Inf,0.6666666666666666,VR
3023,0,3s,0.5,VR
3023,0,Inf,1.0,VR
3023,120,3s,1.0,VR
3023,120,Inf,0.5714285714285714,VR
3023,150,3s,0.3333333333333333,VR
3023,150,Inf,1.0,VR
3023,180,3s,1.0,VR
3023,180,Inf,0.5,VR
3023,30,3s,1.0,VR
3023,30,Inf,0.8,VR
3023,60,3s,0.5714285714285714,VR
3023,60,Inf,0.6,VR
3023,90,3s,0.5,VR
3023,90,Inf,0.8333333333333334,VR
3743,0,3s,0.75,VR
3743,0,Inf,1.0,VR
3743,120,3s,0.5,VR
3743,120,Inf,0.7142857142857143,VR
3743,150,3s,0.16666666666666666,VR
3743,150,Inf,0.8571428571428571,VR
3743,180,3s,0.3333333333333333,VR
3743,180,Inf,1.0,VR
3743,30,3s,0.5,VR
3743,30,Inf,0.8,VR
3743,60,3s,0.2857142857142857,VR
3743,60,Inf,0.4,VR
3743,90,3s,0.6666666666666666,VR
3743,90,Inf,0.8333333333333334,VR
4272,0,3s,0.0,VR
4272,0,Inf,0.5,VR
4272,120,3s,0.25,VR
4272,120,Inf,0.42857142857142855,VR
4272,150,3s,0.5,VR
4272,150,Inf,0.7142857142857143,VR
4272,180,3s,1.0,VR
4272,180,Inf,0.5,VR
4272,30,3s,0.3333333333333333,VR
4272,30,Inf,0.4,VR
4272,60,3s,0.14285714285714285,VR
4272,60,Inf,0.6,VR
4272,90,3s,0.6666666666666666,VR
4272,90,Inf,0.16666666666666666,VR
5239,0,3s,0.5,VR
5239,0,Inf,0.0,VR
5239,120,3s,0.5,VR
5239,120,Inf,0.42857142857142855,VR
5239,150,3s,0.5,VR
5239,150,Inf,0.5714285714285714,VR
5239,180,3s,0.3333333333333333,VR
5239,180,Inf,1.0,VR
5239,30,3s,0.6666666666666666,VR
5239,30,Inf,0.4,VR
5239,60,3s,0.5714285714285714,VR
5239,60,Inf,0.6,VR
5239,90,3s,0.8333333333333334,VR
5239,90,Inf,0.16666666666666666,VR
5253,0,3s,1.0,VR
5253,0,Inf,0.5,VR
5253,120,3s,0.75,VR
5253,120,Inf,0.7142857142857143,VR
5253,150,3s,0.3333333333333333,VR
5253,150,Inf,0.5714285714285714,VR
5253,180,3s,0.6666666666666666,VR
5253,180,Inf,0.5,VR
5253,30,3s,0.5,VR
5253,30,Inf,0.6,VR
5253,60,3s,0.2857142857142857,VR
5253,60,Inf,0.8,VR
5253,90,3s,0.5,VR
5253,90,Inf,0.6666666666666666,VR
5346,0,3s,0.25,VR
5346,0,Inf,1.0,VR
5346,120,3s,0.0,VR
5346,120,Inf,0.7142857142857143,VR
5346,150,3s,0.5,VR
5346,150,Inf,0.8571428571428571,VR
5346,180,3s,0.6666666666666666,VR
5346,180,Inf,0.75,VR
5346,30,3s,0.3333333333333333,VR
5346,30,Inf,0.6,VR
5346,60,3s,0.2857142857142857,VR
5346,60,Inf,0.4,VR
5346,90,3s,0.8333333333333334,VR
5346,90,Inf,1.0,VR
6398,0,3s,0.0,VR
6398,0,Inf,1.0,VR
6398,120,3s,0.5,VR
6398,120,Inf,0.5714285714285714,VR
6398,150,3s,0.5,VR
6398,150,Inf,0.5714285714285714,VR
6398,180,3s,1.0,VR
6398,180,Inf,1.0,VR
6398,30,3s,0.8333333333333334,VR
6398,30,Inf,1.0,VR
6398,60,3s,0.42857142857142855,VR
6398,60,Inf,1.0,VR
6398,90,3s,0.5,VR
6398,90,Inf,0.8333333333333334,VR
7021,0,3s,0.5,VR
7021,0,Inf,0.0,VR
7021,120,3s,0.5,VR
7021,120,Inf,0.42857142857142855,VR
7021,150,3s,0.3333333333333333,VR
7021,150,Inf,0.5714285714285714,VR
7021,180,3s,0.3333333333333333,VR
7021,180,Inf,0.75,VR
7021,30,3s,0.8333333333333334,VR
7021,30,Inf,0.6,VR
7021,60,3s,0.5714285714285714,VR
7021,60,Inf,0.6,VR
7021,90,3s,0.6666666666666666,VR
7021,90,Inf,0.5,VR
8072,0,3s,1.0,VR
8072,0,Inf,1.0,VR
8072,120,3s,1.0,VR
8072,120,Inf,0.5714285714285714,VR
8072,150,3s,0.5,VR
8072,150,Inf,0.5714285714285714,VR
8072,180,3s,0.6666666666666666,VR
8072,180,Inf,0.5,VR
8072,30,3s,1.0,VR
8072,30,Inf,0.6,VR
8072,60,3s,0.2857142857142857,VR
8072,60,Inf,0.4,VR
8072,90,3s,0.5,VR
8072,90,Inf,0.6666666666666666,VR
8195,0,3s,0.5,VR
8195,0,Inf,0.5,VR
8195,120,3s,0.25,VR
8195,120,Inf,0.42857142857142855,VR
8195,150,3s,0.3333333333333333,VR
8195,150,Inf,0.42857142857142855,VR
8195,180,3s,0.6666666666666666,VR
8195,180,Inf,0.25,VR
8195,30,3s,0.8333333333333334,VR
8195,30,Inf,0.4,VR
8195,60,3s,0.42857142857142855,VR
8195,60,Inf,0.8,VR
8195,90,3s,0.16666666666666666,VR
8195,90,Inf,0.0,VR
8261,0,3s,0.5,VR
8261,0,Inf,1.0,VR
8261,120,3s,0.25,VR
8261,120,Inf,0.7142857142857143,VR
8261,150,3s,0.3333333333333333,VR
8261,150,Inf,0.7142857142857143,VR
8261,180,3s,0.6666666666666666,VR
8261,180,Inf,0.5,VR
8261,30,3s,0.5,VR
8261,30,Inf,0.8,VR
8261,60,3s,0.5714285714285714,VR
8261,60,Inf,0.6,VR
8261,90,3s,0.6666666666666666,VR
8261,90,Inf,0.6666666666666666,VR
8547,0,3s,0.25,VR
8547,0,Inf,0.0,VR
8547,120,3s,0.5,VR
8547,120,Inf,0.7142857142857143,VR
8547,150,3s,0.3333333333333333,VR
8547,150,Inf,0.7142857142857143,VR
8547,180,3s,0.0,VR
8547,180,Inf,0.75,VR
8547,30,3s,0.6666666666666666,VR
8547,30,Inf,0.4,VR
8547,60,3s,0.7142857142857143,VR
8547,60,Inf,0.6,VR
8547,90,3s,0.16666666666666666,VR
8547,90,Inf,0.8333333333333334,VR
8699,0,3s,0.75,VR
8699,0,Inf,1.0,VR
8699,120,3s,0.5,VR
8699,120,Inf,0.42857142857142855,VR
8699,150,3s,0.0,VR
8699,150,Inf,0.5714285714285714,VR
8699,180,3s,0.0,VR
8699,180,Inf,0.25,VR
8699,30,3s,0.6666666666666666,VR
8699,30,Inf,0.2,VR
8699,60,3s,0.7142857142857143,VR
8699,60,Inf,0.4,VR
8699,90,3s,0.8333333333333334,VR
8699,90,Inf,0.8333333333333334,VR
8936,0,3s,0.75,VR
8936,0,Inf,0.5,VR
8936,120,3s,0.75,VR
8936,120,Inf,0.42857142857142855,VR
8936,150,3s,0.3333333333333333,VR
8936,150,Inf,0.5714285714285714,VR
8936,180,3s,0.3333333333333333,VR
8936,180,Inf,0.75,VR
8936,30,3s,0.5,VR
8936,30,Inf,0.4,VR
8936,60,3s,0.42857142857142855,VR
8936,60,Inf,0.2,VR
8936,90,3s,0.6666666666666666,VR
8936,90,Inf,0.6666666666666666,VR
8954,0,3s,0.75,VR
8954,0,Inf,0.5,VR
8954,120,3s,0.5,VR
8954,120,Inf,0.5714285714285714,VR
8954,150,3s,0.16666666666666666,VR
8954,150,Inf,0.2857142857142857,VR
8954,180,3s,0.0,VR
8954,180,Inf,0.5,VR
8954,30,3s,0.6666666666666666,VR
8954,30,Inf,0.6,VR
8954,60,3s,0.5714285714285714,VR
8954,60,Inf,0.6,VR
8954,90,3s,0.3333333333333333,VR
8954,90,Inf,0.6666666666666666,VR
9017,0,3s,0.5,VR
9017,0,Inf,0.5,VR
9017,120,3s,0.75,VR
9017,120,Inf,0.2857142857142857,VR
9017,150,3s,0.16666666666666666,VR
9017,150,Inf,0.42857142857142855,VR
9017,180,3s,0.3333333333333333,VR
9017,180,Inf,0.5,VR
9017,30,3s,0.5,VR
9017,30,Inf,0.4,VR
9017,60,3s,0.42857142857142855,VR
9017,60,Inf,0.8,VR
9017,90,3s,0.8333333333333334,VR
9017,90,Inf,0.6666666666666666,VR
9437,0,3s,0.5,VR
9437,0,Inf,0.0,VR
9437,120,3s,0.5,VR
9437,120,Inf,0.5714285714285714,VR
9437,150,3s,0.8333333333333334,VR
9437,150,Inf,0.7142857142857143,VR
9437,180,3s,0.6666666666666666,VR
9437,180,Inf,0.25,VR
9437,30,3s,1.0,VR
9437,30,Inf,0.4,VR
9437,60,3s,0.42857142857142855,VR
9437,60,Inf,0.2,VR
9437,90,3s,0.8333333333333334,VR
9437,90,Inf,0.5,VR
9475,0,3s,0.5,VR
9475,0,Inf,0.0,VR
9475,120,3s,0.5,VR
9475,120,Inf,0.7142857142857143,VR
9475,150,3s,0.8333333333333334,VR
9475,150,Inf,0.7142857142857143,VR
9475,180,3s,1.0,VR
9475,180,Inf,0.75,VR
9475,30,3s,0.8333333333333334,VR
9475,30,Inf,1.0,VR
9475,60,3s,0.2857142857142857,VR
9475,60,Inf,0.6,VR
9475,90,3s,0.6666666666666666,VR
9475,90,Inf,0.5,VR
9961,0,3s,0.5,VR
9961,0,Inf,0.5,VR
9961,120,3s,0.0,VR
9961,120,Inf,0.42857142857142855,VR
9961,150,3s,0.3333333333333333,VR
9961,150,Inf,0.42857142857142855,VR
9961,180,3s,0.3333333333333333,VR
9961,180,Inf,0.75,VR
9961,30,3s,0.6666666666666666,VR
9961,30,Inf,0.8,VR
9961,60,3s,0.2857142857142857,VR
9961,60,Inf,0.2,VR
9961,90,3s,0.5,VR
9961,90,Inf,0.8333333333333334,VR
